100	15.4414	15.4414	15.4414	15.4414	15.4414	15.4414
125	19.5343	19.5343	19.5343	19.5343	19.5343	19.5343
200	46.5101	46.5101	46.5101	46.5101	46.5101	46.5101
250	67.1935	67.1935	67.1935	67.1935	67.1935	67.1935
300	6.2213	6.2213	6.2213	6.2213	6.2213	6.2213
400	10.8637	10.8637	10.8637	10.8637	10.8637	10.8637
500	13.3844	13.3844	13.3844	13.3844	13.3844	13.3844
600	20.3650	20.3650	20.3650	20.3650	20.3650	20.3650
700	2.9498	2.9498	2.9498	2.9498	2.9498	2.9498
800	3.4129	3.4129	3.4129	3.4129	3.4129	3.4129
900	3.6010	3.6010	3.6010	3.6010	3.6010	3.6010
1000	4.3752	4.3752	4.3752	4.3752	4.3752	4.3752
1100	0.5532	0.5532	0.5532	0.5532	0.5532	0.5532
1200	0.7300	0.7300	0.7300	0.7300	0.7300	0.7300
1500	1.8205	1.8205	1.8205	1.8205	1.8205	1.8205
