Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 44.8341   | 1.235    | 0.0      | 46.0691     | 0.003     || 0.011           | 18.6
125       | 48.8895   | 1.3395   | 13.0067  | 50.229      | 0.0095    || 0.026           | 11.7
200       | 43.7033   | 1.3908   | 0.0      | 45.0941     | 0.0279    || 0.049           | 4.6
250       | 20.03     | 0.2344   | 0.0      | 20.2644     | 0.027     || 0.059           | 3.0
300       | 28.9975   | 0.1599   | 0.0      | 29.1574     | 0.0245    || 0.076           | 2.6
400       | 22.0002   | 0.0838   | 5.2629   | 22.084      | 0.0263    || 0.066           | 0.9
500       | 9.8763    | 0.0      | 2.7896   | 9.8763      | 0.0136    || 0.055           | 0.4
600       | 2.8049    | 0.0      | 2.9483   | 2.8049      | 0.0127    || 0.038           | 0.3
700       | 2.8254    | 0.0      | 2.9483   | 2.8254      | 0.0133    || 0.04            | 0.2
800       | 2.8364    | 0.0      | 0.0      | 2.8364      | 0.0121    || 0.036           | 0.2
900       | 2.8364    | 0.0      | 0.0      | 2.8364      | 0.0114    || 0.032           | 0.2
1000      | 2.8364    | 0.0      | 0.0      | 2.8364      | 0.0096    || 0.026           | 0.2
1100      | 2.8364    | 0.0      | 0.0      | 2.8364      | 0.0086    || 0.022           | 0.2
1200      | 8.5091    | 0.0      | 0.0      | 8.5091      | 0.0227    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 2.8364    | 0.0      | 0.0      | 2.8364      | 0.005     || 0.013           | 0.2
