Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 42.4554   | 1.235    | 0.0      | 43.6904     | 0.0031    || 0.011           | 18.6
125       | 59.4398   | 1.4122   | 14.9413  | 60.852      | 0.0098    || 0.026           | 11.7
200       | 53.5471   | 1.7162   | 0.0      | 55.2633     | 0.0293    || 0.049           | 4.6
250       | 19.2534   | 0.2344   | 0.0      | 19.4878     | 0.0285    || 0.059           | 3.0
300       | 29.7873   | 0.1599   | 0.0      | 29.9472     | 0.0257    || 0.076           | 2.6
400       | 27.3782   | 0.0838   | 7.2592   | 27.462      | 0.0279    || 0.066           | 0.9
500       | 14.4249   | 0.0      | 5.7109   | 14.4249     | 0.0145    || 0.055           | 0.4
600       | 7.3526    | 0.0      | 3.0995   | 7.3526      | 0.0142    || 0.038           | 0.3
700       | 7.3731    | 0.0      | 3.0995   | 7.3731      | 0.015     || 0.04            | 0.2
800       | 7.384     | 0.0      | 0.0      | 7.384       | 0.0137    || 0.036           | 0.2
900       | 7.384     | 0.0      | 0.0      | 7.384       | 0.0128    || 0.032           | 0.2
1000      | 7.384     | 0.0      | 0.0      | 7.384       | 0.0107    || 0.026           | 0.2
1100      | 7.384     | 0.0      | 0.0      | 7.384       | 0.0103    || 0.022           | 0.2
1200      | 22.1521   | 0.0      | 0.0      | 22.1521     | 0.0264    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 7.384     | 0.0      | 0.0      | 7.384       | 0.0061    || 0.013           | 0.2
