TRUE	3941.17	2800.04
TRUE	3846.39	2900.03
TRUE	3799.97	2941.46
TRUE	3616.57	3000.04
TRUE	3599.97	3002.65
TRUE	3595.75	3000.04
TRUE	3399.98	2906.28
TRUE	3373.01	2900.03
TRUE	3199.99	2860.37
TRUE	3138.51	2800.04
TRUE	2999.98	2723.11
TRUE	2983.28	2700.04
TRUE	2823.63	2600.03
TRUE	2799.98	2587.36
TRUE	2738.23	2500.04
TRUE	2599.99	2423.08
TRUE	2572.87	2400.03
TRUE	2438.96	2300.03
TRUE	2399.98	2279.71
TRUE	2352.16	2200.03
TRUE	2204.31	2100.03
TRUE	2199.99	2097.46
TRUE	2148.98	2000.02
TRUE	2021.55	1900.03
TRUE	1999.99	1887.08
TRUE	1948.85	1800.03
TRUE	1799.98	1712.46
TRUE	1775.13	1700.02
TRUE	1742.88	1600.01
TRUE	1599.99	1514.07
TRUE	1571.9	1500.02
TRUE	1542.02	1400.02
TRUE	1399.99	1321.77
TRUE	1356.49	1300.01
TRUE	1338.71	1200.02
TRUE	1200	1126.19
TRUE	1147.64	1100.01
TRUE	1136.71	1000.01
TRUE	999.991	928.314
TRUE	917.897	900.015
TRUE	906.697	800.009
TRUE	709.995	730.56
TRUE	709.819	700.003
TRUE	709.79	600.007
TRUE	709.79	500.007
TRUE	709.79	400.005
TRUE	709.79	300.003
TRUE	709.79	200.002
TRUE	709.834	55.0003
TRUE	709.995	54.916
TRUE	999.991	54.9527
TRUE	1125.39	55.0003
TRUE	1200	86.4816
TRUE	1399.99	162.197
TRUE	1599.99	171.025
TRUE	1799.98	171.284
TRUE	1999.99	196.821
TRUE	2199.99	196.927
TRUE	2399.98	197.429
TRUE	2599.99	199.954
TRUE	2617.51	200.002
TRUE	2799.98	243.207
TRUE	2999.98	280.121
TRUE	3199.99	293.348
TRUE	3241.33	300.003
TRUE	3399.98	370.036
TRUE	3599.97	392.949
TRUE	3623.07	400.005
TRUE	3799.97	489.079
TRUE	3825.93	500.007
TRUE	3964.89	600.007
TRUE	3999.98	628.962
TRUE	4136.46	700.003
TRUE	4199.97	746.96
TRUE	4271.55	800.009
TRUE	4362.22	900.015
TRUE	4399.96	956.327
TRUE	4414.55	1000.01
TRUE	4457.47	1100.01
TRUE	4462.63	1200.02
TRUE	4480.1	1300.01
TRUE	4484.94	1400.02
TRUE	4482.32	1500.02
TRUE	4489.25	1600.01
TRUE	4479.75	1700.02
TRUE	4471.49	1800.03
TRUE	4460.33	1900.03
TRUE	4446.3	2000.02
TRUE	4432.71	2100.03
TRUE	4407.02	2200.03
TRUE	4399.96	2259.8
TRUE	4387.31	2300.03
TRUE	4332.01	2400.03
TRUE	4250.34	2500.04
TRUE	4199.97	2564.44
TRUE	4172.17	2600.03
TRUE	4038.8	2700.04
TRUE	3999.98	2721.56
TRUE	3941.17	2800.04
