POG_SingleMuon_OnZ_OS ZCand_Mass 2
HNL_ZZ_FourLepton_CR_DiElectron_HN2018  met  10
HNL_ZZ_FourLepton_CR_DiElectron_HN2018  ht   10
HNL_ZZ_FourLepton_CR_DiElectron_HN2018  lep1_pt	10
HNL_ZZ_FourLepton_CR_DiElectron_HN2018  nPV     -999
HNL_ZZ_FourLepton_CR_Version1_Electron M_llll 5
HNL_ZZ_FourLepton_CR_Version1_Electron MET 5
HNL_ZZ_FourLepton_CR_OptID_Electron M_llll 5
HNL_ZZ_FourLepton_CR_OptID_Electron MET 5
HNL_ZZLoose_FourLepton_CR_Version1_Electron M_llll 5
HNL_ZZLoose_FourLepton_CR_Version1_Electron MET 5
HNL_ZZLoose_FourLepton_CR_OptID_Electron M_llll 5
HNL_ZZLoose_FourLepton_CR_OptID_Electron MET 5
HNL_ZZ_FourLepton_CR_Version1_Electron M_Z1 5
HNL_ZZ_FourLepton_CR_OptID_Electron M_Z1 5
HNL_ZZLoose_FourLepton_CR_Version1_Electron M_Z1 5
HNL_ZZLoose_FourLepton_CR_OptID_Electron M_Z1 5
HNL_ZZ_FourLepton_CR_Version1_Electron M_Z2 5
HNL_ZZ_FourLepton_CR_OptID_Electron M_Z2 5
HNL_ZZLoose_FourLepton_CR_Version1_Electron M_Z2 5
HNL_ZZLoose_FourLepton_CR_OptID_Electron M_Z2 5
