400	44.4745	44.4745	44.4745	44.4745	44.4745	44.4745
500	44.4745	44.4745	44.4745	44.4745	44.4745	44.4745
600	91.9648	91.9648	91.9648	91.9648	91.9648	91.9648
700	15.9577	15.9577	15.9577	15.9577	15.9577	15.9577
800	22.173	22.173	22.173	22.173	22.173	22.173
900	27.1132	27.1132	27.1132	27.1132	27.1132	27.1132
1000	44.0869	44.0869	44.0869	44.0869	44.0869	44.0869
1100	74.5011	74.5011	74.5011	74.5011	74.5011	74.5011
1200	11.1798	11.1798	11.1798	11.1798	11.1798	11.1798
1500	32.0962	32.0962	32.0962	32.0962	32.0962	32.0962
