100	1.2590	1.2590	1.2590	1.2590	1.2590	1.2590
125	2.1206	2.1206	2.1206	2.1206	2.1206	2.1206
200	7.1841	7.1841	7.1841	7.1841	7.1841	7.1841
250	10.6925	10.6925	10.6925	10.6925	10.6925	10.6925
300	1.5906	1.5906	1.5906	1.5906	1.5906	1.5906
400	2.7326	2.7326	2.7326	2.7326	2.7326	2.7326
500	4.1786	4.1786	4.1786	4.1786	4.1786	4.1786
600	5.2824	5.2824	5.2824	5.2824	5.2824	5.2824
700	0.7834	0.7834	0.7834	0.7834	0.7834	0.7834
800	1.0268	1.0268	1.0268	1.0268	1.0268	1.0268
900	1.1308	1.1308	1.1308	1.1308	1.1308	1.1308
1000	1.3839	1.3839	1.3839	1.3839	1.3839	1.3839
1100	0.2344	0.2344	0.2344	0.2344	0.2344	0.2344
1200	0.2370	0.2370	0.2370	0.2370	0.2370	0.2370
1500	0.5991	0.5991	0.5991	0.5991	0.5991	0.5991
