Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 6.8996    | 0.5741   | 0.0      | 7.4737      | 0.018     || 0.026           | 20.3
125       | 6.98      | 0.7865   | 0.0      | 7.7665      | 0.0302    || 0.051           | 17.7
200       | 2.6985    | 0.882    | 0.0      | 3.5805      | 0.0615    || 0.081           | 12.4
250       | 2.4586    | 0.0311   | 0.0      | 2.4897      | 0.0601    || 0.11            | 6.0
300       | 2.3111    | 0.0      | 0.0      | 2.3111      | 0.0696    || 0.132           | 8.2
400       | 0.3366    | 0.0      | 0.0      | 0.3366      | 0.054     || 0.117           | 2.5
500       | 0.1982    | 0.0      | 0.0      | 0.1982      | 0.0302    || 0.086           | 1.5
600       | 0.1268    | 0.0      | 0.0      | 0.1268      | 0.0276    || 0.074           | 0.9
700       | 0.0745    | 0.0      | 0.0      | 0.0745      | 0.0205    || 0.067           | 1.7
800       | 0.0745    | 0.0      | 0.0      | 0.0745      | 0.0207    || 0.06            | 1.7
900       | 0.0767    | 0.0      | 0.0      | 0.0767      | 0.0186    || 0.054           | 1.7
1000      | 0.0767    | 0.0      | 0.0      | 0.0767      | 0.0169    || 0.046           | 1.7
1100      | 0.1354    | 0.0      | 0.0      | 0.1354      | 0.0185    || 0.041           | 1.7
1200      | 0.0767    | 0.0      | 0.0      | 0.0767      | 0.0143    || 0.036           | 1.7
1300      | 0.0767    | 0.0      | 0.0      | 0.0767      | 0.0114    || 0.032           | 1.7
1400      | 0.0767    | 0.0      | 0.0      | 0.0767      | 0.0123    || 0.027           | 1.7
1500      | 0.1354    | 0.0      | 0.0      | 0.1354      | 0.012     || 0.025           | 1.7
