Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 6.91      | 0.0841   | 2.548    | 6.9941   | 0.0171
125       | 13.6404   | 0.6409   | 10.3273  | 14.2813  | 0.0174
200       | 12.372    | 0.4451   | 5.9819   | 12.8171  | 0.007
250       | 5.3843    | 0.0855   | 11.3959  | 5.4698   | 0.272
300       | 3.2402    | 0.0855   | 14.0285  | 3.3257   | 0.2776
400       | 3.2484    | 0.0      | 2.6758   | 3.2484   | 0.0659
500       | 1.1585    | 0.0      | 0.1598   | 1.1585   | 0.0341
600       | 0.4322    | 0.0      | 3.0524   | 0.4322   | 0.0096
700       | 0.433     | 0.0      | 3.0524   | 0.433    | 0.0567
800       | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0365
900       | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0242
1000      | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0146
1100      | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0978
1200      | 1.3179    | 0.0      | 9.1571   | 1.3179   | 0.211
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0196
600       | 0.4322    | 0.0      | 3.0524   | 0.4322   | 0.0096
700       | 0.433     | 0.0      | 3.0524   | 0.433    | 0.0567
800       | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0365
900       | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0242
1000      | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0146
1100      | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0978
1200      | 1.3179    | 0.0      | 9.1571   | 1.3179   | 0.211
1500      | 0.4393    | 0.0      | 3.0524   | 0.4393   | 0.0196
