Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 15.5791   | 0.256    | 91.1553  | 15.8351  | 0.0169
125       | 21.2554   | 20.6633  | 35.5909  | 41.9187  | 0.0167
200       | 25.0082   | 0.4372   | 33.7709  | 25.4454  | 0.0068
250       | 10.6679   | 0.1651   | 23.6161  | 10.833   | 0.2754
300       | 7.3359    | 0.0805   | 42.2984  | 7.4164   | 0.2836
400       | 5.0436    | 0.0805   | 20.1263  | 5.1241   | 0.0689
500       | 2.7455    | 0.0805   | 0.2989   | 2.826    | 0.0359
600       | 2.0163    | 0.0805   | 0.0382   | 2.0968   | 0.0104
700       | 2.0172    | 0.0805   | 0.0382   | 2.0977   | 0.0615
800       | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0402
900       | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0263
1000      | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0159
1100      | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.1209
1200      | 6.0704    | 0.2416   | 0.1146   | 6.312    | 0.2369
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0232
600       | 2.0163    | 0.0805   | 0.0382   | 2.0968   | 0.0104
700       | 2.0172    | 0.0805   | 0.0382   | 2.0977   | 0.0615
800       | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0402
900       | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0263
1000      | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0159
1100      | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.1209
1200      | 6.0704    | 0.2416   | 0.1146   | 6.312    | 0.2369
1500      | 2.0235    | 0.0805   | 0.0382   | 2.104    | 0.0232
