Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 16.4041   | 0.256    | 14.6529  | 16.6601     | 0.003     || 0.011           | 18.6
125       | 17.146    | 0.4609   | 33.9027  | 17.6069     | 0.0095    || 0.026           | 11.7
200       | 15.3335   | 0.3408   | 11.2222  | 15.6743     | 0.0279    || 0.049           | 4.6
250       | 6.8202    | 0.0      | 20.4407  | 6.8202      | 0.027     || 0.059           | 3.0
300       | 5.014     | 0.0      | 30.4133  | 5.014       | 0.0245    || 0.076           | 2.6
400       | 4.163     | 0.0      | 10.4742  | 4.163       | 0.0263    || 0.066           | 0.9
500       | 1.3296    | 0.0      | 0.2607   | 1.3296      | 0.0136    || 0.055           | 0.4
600       | 0.648     | 0.0      | 0.0      | 0.648       | 0.0127    || 0.038           | 0.3
700       | 0.6489    | 0.0      | 0.0      | 0.6489      | 0.0133    || 0.04            | 0.2
800       | 0.6552    | 0.0      | 0.0      | 0.6552      | 0.0121    || 0.036           | 0.2
900       | 0.6552    | 0.0      | 0.0      | 0.6552      | 0.0114    || 0.032           | 0.2
1000      | 0.6552    | 0.0      | 0.0      | 0.6552      | 0.0096    || 0.026           | 0.2
1100      | 0.6552    | 0.0      | 0.0      | 0.6552      | 0.0086    || 0.022           | 0.2
1200      | 1.9655    | 0.0      | 0.0      | 1.9655      | 0.0227    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 0.6552    | 0.0      | 0.0      | 0.6552      | 0.005     || 0.013           | 0.2
