Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 16.7872   | 0.5265   | 10.7699  | 17.3137     | 0.0031    || 0.011           | 18.6
125       | 23.2611   | 67.0885  | 7.017    | 90.3496     | 0.0102    || 0.026           | 11.7
200       | 23.9927   | 0.7518   | 11.1138  | 24.7445     | 0.0303    || 0.049           | 4.6
250       | 7.582     | 0.0      | 2.0296   | 7.582       | 0.0282    || 0.059           | 3.0
300       | 9.9289    | 0.0      | 3.537    | 9.9289      | 0.0252    || 0.076           | 2.6
400       | 5.4902    | 0.0      | 1.9862   | 5.4902      | 0.0267    || 0.066           | 0.9
500       | 4.2907    | 0.0      | 0.0      | 4.2907      | 0.0138    || 0.055           | 0.4
600       | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0131    || 0.038           | 0.3
700       | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0138    || 0.04            | 0.2
800       | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0125    || 0.036           | 0.2
900       | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0117    || 0.032           | 0.2
1000      | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0099    || 0.026           | 0.2
1100      | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0083    || 0.022           | 0.2
1200      | 0.4552    | 0.0      | 0.0      | 0.4552      | 0.0235    || 0.02            | 0.2
1300      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.018           | 0.2
1400      | 0.0       | 0.0      | 0.0      | 0.0         | 0.0       || 0.015           | 0.2
1500      | 0.1517    | 0.0      | 0.0      | 0.1517      | 0.0052    || 0.013           | 0.2
