Channel = MuMu
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/LF_Bin1__MuID_NP__EC__/SIG/HNL_SignalLeptonOpt_DYTypeI_DF_M100_private.root
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/LF_Bin1__MuID_NP__EC__/SIG/HNL_SignalLeptonOpt_VBFTypeI_DF_M100_private.root
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/LF_Bin1__MuID_NP__EC__/SIG/HNL_SignalLeptonOpt_SSWWTypeI_SF_M100_private.root
LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVALFECneg1_MVAHFBB0p68_MVAHFEC0p64_NPMMEDv4/100/LimitBins/MuonSR
Bin SR3_BDTbin2          NSig = 2470.684   NBkg = 390.455    s/sqrt(B+1) = 124.875    Punzi = 119.012    Azimoth = 124.904   
Bin SR3_BDTbin3          NSig = 930.664    NBkg = 41.407     s/sqrt(B+1) = 142.914    Punzi = 125.176    Azimoth = 144.092   
Bin SR3_BDTbin4          NSig = 985.551    NBkg = 26.372     s/sqrt(B+1) = 188.376    Punzi = 160.634    Azimoth = 190.737   
Bin SR3_BDTbin5          NSig = 1795.818   NBkg = 25.502     s/sqrt(B+1) = 348.836    Punzi = 296.83     Azimoth = 351.553   
Bin SR3_BDTbin6          NSig = 663.491    NBkg = 0.2        s/sqrt(B+1) = 605.681    Punzi = 458.461    Azimoth = 1094.996  
Bin SR3_BDTbin7          NSig = 459.846    NBkg = 1.353      s/sqrt(B+1) = 299.806    Punzi = 212.596    Azimoth = 375.673   
Bin SR3_BDTbin8          NSig = 258.173    NBkg = 0.354      s/sqrt(B+1) = 221.833    Punzi = 161.826    Azimoth = 392.531   
Bin SR3_BDTbin9          NSig = 171.245    NBkg = 0.39       s/sqrt(B+1) = 145.225    Punzi = 105.391    Azimoth = 256.986   
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_ULHNTightV2/100/LimitBins/MuonSR
Bin SR1_MNbin1           NSig = 1.988      NBkg = 3.415      s/sqrt(B+1) = 0.946      Punzi = 0.698      Azimoth = 1.076     
Bin SR1_MNbin2           NSig = 0.945      NBkg = 0.146      s/sqrt(B+1) = 0.882      Punzi = 0.683      Azimoth = 2.466     
Bin SR1_MNbin3           NSig = 4.039      NBkg = 0.567      s/sqrt(B+1) = 3.227      Punzi = 2.304      Azimoth = 5.358     
Bin SR1_MNbin4           NSig = 0.0        NBkg = 0.228      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
