Channel = MuMu
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/HF_Bin3__FullEta__MuID_NP__DXY__/SIG/HNL_SignalLeptonOpt_DYTypeI_DF_M100_private.root
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/HF_Bin3__FullEta__MuID_NP__DXY__/SIG/HNL_SignalLeptonOpt_VBFTypeI_DF_M100_private.root
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/HF_Bin3__FullEta__MuID_NP__DXY__/SIG/HNL_SignalLeptonOpt_SSWWTypeI_SF_M100_private.root
LimitInputBDT/MuMu/17028/100/LimitBins/MuonSR
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_ULHNTightV2/100/LimitBins/MuonSR
Bin SR3_BDTbin7          NSig = 437.168    NBkg = 4.817      s/sqrt(B+1) = 181.266    Punzi = 136.843    Azimoth = 196.291   
Bin SR3_BDTbin8          NSig = 241.475    NBkg = 1.986      s/sqrt(B+1) = 139.743    Punzi = 100.228    Azimoth = 168.043   
Bin SR3_BDTbin9          NSig = 150.809    NBkg = 0.545      s/sqrt(B+1) = 121.316    Punzi = 86.749     Azimoth = 195.751   
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVAHFBB0p68_MVAHFEC0p64_DXY0p005_/100/LimitBins/MuonSR
Bin SR1_MNbin1           NSig = 2.98       NBkg = 4.477      s/sqrt(B+1) = 1.273      Punzi = 0.956      Azimoth = 1.408     
Bin SR1_MNbin2           NSig = 0.945      NBkg = 0.154      s/sqrt(B+1) = 0.879      Punzi = 0.679      Azimoth = 2.406     
Bin SR1_MNbin3           NSig = 3.039      NBkg = 0.723      s/sqrt(B+1) = 2.315      Punzi = 1.642      Azimoth = 3.571     
Bin SR1_MNbin4           NSig = 0.0        NBkg = 0.427      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin5           NSig = 0.0        NBkg = 0.26       s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin6           NSig = 0.0        NBkg = 0.116      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin7           NSig = 0.0        NBkg = 0.253      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin8           NSig = 0.0        NBkg = 0.044      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR2_HTLTbin1         NSig = 0.983      NBkg = 0.339      s/sqrt(B+1) = 0.85       Punzi = 0.622      Azimoth = 1.688     
Bin SR2_HTLTbin2         NSig = 1.919      NBkg = 0.434      s/sqrt(B+1) = 1.603      Punzi = 1.157      Azimoth = 2.911     
Bin SR3_BDTbin1          NSig = 710.115    NBkg = 1194.858   s/sqrt(B+1) = 20.535     Punzi = 19.966     Azimoth = 20.541    
Bin SR3_BDTbin2          NSig = 2431.976   NBkg = 370.775    s/sqrt(B+1) = 126.13     Punzi = 120.065    Azimoth = 126.163   
Bin SR3_BDTbin3          NSig = 920.317    NBkg = 40.461     s/sqrt(B+1) = 142.928    Punzi = 125.028    Azimoth = 144.14    
Bin SR3_BDTbin4          NSig = 974.095    NBkg = 25.878     s/sqrt(B+1) = 187.89     Punzi = 160.028    Azimoth = 190.303   
Bin SR3_BDTbin5          NSig = 1777.889   NBkg = 20.105     s/sqrt(B+1) = 386.999    Punzi = 324.203    Azimoth = 390.869   
Bin SR3_BDTbin6          NSig = 656.984    NBkg = 0.2        s/sqrt(B+1) = 599.742    Punzi = 453.965    Azimoth = 1086.293  
Bin SR3_BDTbin7          NSig = 454.15     NBkg = 1.334      s/sqrt(B+1) = 297.252    Punzi = 210.733    Azimoth = 373.538   
Bin SR3_BDTbin8          NSig = 256.381    NBkg = 0.354      s/sqrt(B+1) = 220.348    Punzi = 160.76     Azimoth = 390.341   
