400	100	107.3
400	300	31.63
1000	100	3.536
1000	400	2.708
1000	900	0.2078
1600	100	0.4435
1600	400	0.3961
1600	1000	0.1964
1600	1500	0.01158
2200	100	0.08603
2200	400	0.07891
2200	1000	0.05672
2200	1600	0.02305
2200	2100	0.001293
2800	100	0.02018
2800	400	0.01868
2800	1000	0.01489
2800	1600	0.009561
2800	2200	0.003468
2800	2700	0.0001963
3400	100	0.005473
3400	400	0.004888
3400	1000	0.003997
3400	1600	0.00297
3400	2200	0.001781
3400	2800	0.000605
3400	3300	3.524E-05
4000	100	0.00173
4000	400	0.001455
4000	1000	0.001152
4000	1600	0.0009011
4000	2200	0.0006407
4000	2800	0.0003626
4000	3400	0.0001166
4000	3900	7.259E-06
4600	100	0.0006586
4600	400	0.0005162
4600	1000	0.0003738
4600	1600	0.000291
4600	2200	0.0002217
4600	2800	0.0001521
4600	3400	8.327E-05
4600	4000	2.589E-05
4600	4500	1.793E-06
5200	100	0.0003084
5200	400	0.0002224
5200	1000	0.000144
5200	1600	0.0001089
5200	2200	8.514E-05
5200	2800	6.318E-05
5200	3400	4.242E-05
5200	4000	2.28E-05
5200	4600	6.929E-06
5200	5100	5.462E-07
5800	100	0.0001693
5800	400	0.0001138
5800	1000	6.633E-05
5800	1600	4.746E-05
5800	2200	3.661E-05
5800	2800	2.851E-05
5800	3400	2.118E-05
5800	4000	1.416E-05
5800	4600	7.44E-06
5800	5200	2.231E-06
5800	5700	1.897E-07
6400	100	0.0001027
6400	400	6.545E-05
6400	1000	3.44E-05
6400	1600	2.282E-05
6400	2200	1.732E-05
6400	2800	1.372E-05
6400	3400	1.08E-05
6400	4000	7.975E-06
6400	4600	5.204E-06
6400	5200	2.669E-06
6400	5800	7.998E-07
6400	6300	7.122E-08
7000	100	6.623E-05
7000	400	3.994E-05
7000	1000	1.915E-05
7000	1600	1.167E-05
7000	2200	8.38E-06
7000	2800	6.591E-06
7000	3400	5.315E-06
7000	4000	4.177E-06
7000	4600	3.058E-06
7000	5200	1.946E-06
7000	5800	9.94E-07
7000	6400	2.905E-07
7000	6900	2.65E-08
