Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 14.5745   | 8.4637   | 0.0      | 23.0382  | 0.0563
125       | 7.689     | 5.204    | 0.0      | 12.893   | 0.0368
200       | 4.9318    | 0.0      | 0.0      | 4.9318   | 0.0117
250       | 4.3758    | 0.2532   | 0.0      | 4.629    | 0.5743
300       | 3.9622    | 0.1672   | 0.0      | 4.1294   | 0.3667
400       | 2.4041    | 0.0201   | 0.0      | 2.4242   | 0.1126
500       | 1.7806    | 0.0      | 0.0      | 1.7806   | 0.0627
600       | 0.475     | 0.087    | 0.0      | 0.562    | 0.0181
700       | 0.2704    | 0.0      | 0.0      | 0.2704   | 0.0774
800       | 0.2704    | 0.0      | 0.0      | 0.2704   | 0.0543
900       | 0.276     | 0.0      | 0.0      | 0.276    | 0.0342
1000      | 0.276     | 0.0      | 0.0      | 0.276    | 0.0223
1100      | 0.4314    | 0.0732   | 0.0      | 0.5046   | 0.1878
1200      | 0.276     | 0.0      | 0.0      | 0.276    | 0.1021
1300      | 0.276     | 0.0      | 0.0      | 0.276    | 0.0627
1400      | 0.276     | 0.0      | 0.0      | 0.276    | 0.0538
1500      | 0.4314    | 0.0732   | 0.0      | 0.5046   | 0.0429
600       | 0.475     | 0.087    | 0.0      | 0.562    | 0.0181
700       | 0.2704    | 0.0      | 0.0      | 0.2704   | 0.0774
800       | 0.2704    | 0.0      | 0.0      | 0.2704   | 0.0543
900       | 0.276     | 0.0      | 0.0      | 0.276    | 0.0342
1000      | 0.276     | 0.0      | 0.0      | 0.276    | 0.0223
1100      | 0.4314    | 0.0732   | 0.0      | 0.5046   | 0.1878
1200      | 0.276     | 0.0      | 0.0      | 0.276    | 0.1021
1500      | 0.4314    | 0.0732   | 0.0      | 0.5046   | 0.0429
