Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 10.465    | 0.0      | 0.0      | 10.465   | 0.041
125       | 4.6973    | 0.493    | 0.0      | 5.1903   | 0.0292
200       | 4.9087    | 0.3896   | 0.0      | 5.2983   | 0.0099
250       | 3.7593    | 0.0284   | 0.0      | 3.7877   | 0.492
300       | 3.4606    | 0.0      | 0.0      | 3.4606   | 0.3148
400       | 2.1778    | 0.0      | 0.0      | 2.1778   | 0.0979
500       | 1.6828    | 0.0      | 0.0      | 1.6828   | 0.0548
600       | 0.4468    | 0.0      | 0.0      | 0.4468   | 0.0161
700       | 0.2403    | 0.0      | 0.0      | 0.2403   | 0.0673
800       | 0.2403    | 0.0      | 0.0      | 0.2403   | 0.0452
900       | 0.246     | 0.0      | 0.0      | 0.246    | 0.0295
1000      | 0.246     | 0.0      | 0.0      | 0.246    | 0.0191
1100      | 0.3267    | 0.0      | 0.0      | 0.3267   | 0.1604
1200      | 0.246     | 0.0      | 0.0      | 0.246    | 0.0863
1300      | 0.246     | 0.0      | 0.0      | 0.246    | 0.052
1400      | 0.246     | 0.0      | 0.0      | 0.246    | 0.0474
1500      | 0.3267    | 0.0      | 0.0      | 0.3267   | 0.0363
600       | 0.4468    | 0.0      | 0.0      | 0.4468   | 0.0161
700       | 0.2403    | 0.0      | 0.0      | 0.2403   | 0.0673
800       | 0.2403    | 0.0      | 0.0      | 0.2403   | 0.0452
900       | 0.246     | 0.0      | 0.0      | 0.246    | 0.0295
1000      | 0.246     | 0.0      | 0.0      | 0.246    | 0.0191
1100      | 0.3267    | 0.0      | 0.0      | 0.3267   | 0.1604
1200      | 0.246     | 0.0      | 0.0      | 0.246    | 0.0863
1500      | 0.3267    | 0.0      | 0.0      | 0.3267   | 0.0363
