Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 33416.3021| 54.5113  | 0.0      | 33470.8134| 0.041
125       | 23761.3281| 47.9526  | 0.0      | 23809.2807| 0.0292
200       | 10802.0074| 62.6824  | 0.0      | 10864.6898| 0.0099
250       | 4247.6343 | 29.6181  | 0.0      | 4277.2524| 0.492
300       | 3173.905  | 21.0449  | 0.0      | 3194.9499| 0.3148
400       | 1204.0454 | 7.5071   | 0.0      | 1211.5525| 0.0979
500       | 508.2945  | 3.2383   | 0.0      | 511.5328 | 0.0548
600       | 223.3905  | 1.8551   | 0.0      | 225.2456 | 0.0161
700       | 128.0275  | 0.969    | 0.0      | 128.9965 | 0.0673
800       | 128.0275  | 0.969    | 0.0      | 128.9965 | 0.0452
900       | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0295
1000      | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0191
1100      | 300.3849  | 1.2216   | 0.0      | 301.6065 | 0.1604
1200      | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0863
1300      | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.052
1400      | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0474
1500      | 297.8462  | 1.2216   | 0.0      | 299.0678 | 0.0363
600       | 223.3905  | 1.8551   | 0.0      | 225.2456 | 0.0161
700       | 128.0275  | 0.969    | 0.0      | 128.9965 | 0.0673
800       | 128.0275  | 0.969    | 0.0      | 128.9965 | 0.0452
900       | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0295
1000      | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0191
1100      | 300.3849  | 1.2216   | 0.0      | 301.6065 | 0.1604
1200      | 130.9004  | 0.969    | 0.0      | 131.8694 | 0.0863
1500      | 297.8462  | 1.2216   | 0.0      | 299.0678 | 0.0363
