Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 45927.1183| 70.976   | 0.0      | 45998.0943| 0.0563
125       | 30992.2047| 65.9755  | 0.0      | 31058.1802| 0.0368
200       | 13527.9649| 78.6792  | 0.0      | 13606.6441| 0.0117
250       | 5103.8235 | 35.9991  | 0.0      | 5139.8226| 0.5743
300       | 3791.6111 | 26.0063  | 0.0      | 3817.6174| 0.3667
400       | 1492.3356 | 9.5177   | 0.0      | 1501.8533| 0.1126
500       | 642.1192  | 4.1739   | 0.0      | 646.2931 | 0.0627
600       | 308.8427  | 2.2415   | 0.0      | 311.0842 | 0.0181
700       | 160.9689  | 1.0507   | 0.0      | 162.0196 | 0.0774
800       | 160.9689  | 1.0507   | 0.0      | 162.0196 | 0.0543
900       | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.0342
1000      | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.0223
1100      | 364.6506  | 1.4427   | 0.0      | 366.0933 | 0.1878
1200      | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.1021
1300      | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.0627
1400      | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.0538
1500      | 362.1119  | 1.4427   | 0.0      | 363.5546 | 0.0429
600       | 308.8427  | 2.2415   | 0.0      | 311.0842 | 0.0181
700       | 160.9689  | 1.0507   | 0.0      | 162.0196 | 0.0774
800       | 160.9689  | 1.0507   | 0.0      | 162.0196 | 0.0543
900       | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.0342
1000      | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.0223
1100      | 364.6506  | 1.4427   | 0.0      | 366.0933 | 0.1878
1200      | 163.8417  | 1.0507   | 0.0      | 164.8924 | 0.1021
1500      | 362.1119  | 1.4427   | 0.0      | 363.5546 | 0.0429
