Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 17.7173   | 1.2725   | 9.5431   | 18.9898  | 0.0019
125       | 13.9081   | 0.604    | 5.9909   | 14.5121  | 0.003
200       | 14.1164   | 0.446    | 9.246    | 14.5624  | 0.0016
250       | 16.778    | 0.5309   | 9.2271   | 17.3089  | 0.1444
300       | 16.8836   | 0.446    | 8.7569   | 17.3296  | 0.1487
400       | 13.9124   | 0.446    | 6.4185   | 14.3584  | 0.107
500       | 10.2285   | 0.2907   | 2.3833   | 10.5192  | 0.0832
600       | 7.3568    | 0.2688   | 6.446    | 7.6256   | 0.0616
700       | 4.8477    | 0.1851   | 3.4612   | 5.0328   | 0.4033
800       | 1.636     | 0.1851   | 3.1777   | 1.8211   | 0.3001
900       | 1.5402    | 0.0886   | 2.9685   | 1.6288   | 0.2021
1000      | 1.4095    | 0.0886   | 0.1532   | 1.4981   | 0.167
1100      | -0.2764   | 0.0886   | 0.0      | -0.1878  | 1.2224
1200      | -0.3703   | 0.0      | 0.0      | -0.3703  | 0.9803
1300      | 0.568     | 0.0      | 0.0      | 0.568    | 0.7582
1400      | 0.5339    | 0.0      | 0.0      | 0.5339   | 0.5547
1500      | 0.4772    | 0.0      | 0.0      | 0.4772   | 0.4546
600       | 7.3568    | 0.2688   | 6.446    | 7.6256   | 0.0616
700       | 4.8477    | 0.1851   | 3.4612   | 5.0328   | 0.4033
800       | 1.636     | 0.1851   | 3.1777   | 1.8211   | 0.3001
900       | 1.5402    | 0.0886   | 2.9685   | 1.6288   | 0.2021
1000      | 1.4095    | 0.0886   | 0.1532   | 1.4981   | 0.167
1100      | -0.2764   | 0.0886   | 0.0      | -0.1878  | 1.2224
1200      | -0.3703   | 0.0      | 0.0      | -0.3703  | 0.9803
1500      | 0.4772    | 0.0      | 0.0      | 0.4772   | 0.4546
