Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 17.7173   | 1.2725   | 9.5431   | 18.9898     | 0.0003    || 5e-05           | 1.0
125       | 13.9081   | 0.604    | 5.9909   | 14.5121     | 0.0017    || 0.0004          | 0.8
200       | 14.1164   | 0.446    | 9.246    | 14.5624     | 0.007     || 0.006           | 1.3
250       | 16.778    | 0.5309   | 9.2271   | 17.3089     | 0.015     || 0.022           | 0.3
300       | 16.8836   | 0.446    | 8.7569   | 17.3296     | 0.0135    || 0.035           | 0.4
400       | 13.9124   | 0.446    | 6.4185   | 14.3584     | 0.0433    || 0.091           | 0.5
500       | 10.2285   | 0.2907   | 2.3833   | 10.5192     | 0.0337    || 0.143           | 0.8
600       | 7.3568    | 0.2688   | 6.446    | 7.6256      | 0.0843    || 0.174           | 0.7
700       | 4.8477    | 0.1851   | 3.4612   | 5.0328      | 0.0981    || 0.194           | 0.8
800       | 1.636     | 0.1851   | 3.1777   | 1.8211      | 0.1024    || 0.208           | 0.4
900       | 1.5402    | 0.0886   | 2.9685   | 1.6288      | 0.0981    || 0.192           | 0.2
1000      | 1.4095    | 0.0886   | 0.1532   | 1.4981      | 0.1125    || 0.215           | 0.1
1100      | -0.2764   | 0.0886   | 0.0      | -0.1878     | 0.1037    || 0.203           | 0.1
1200      | -0.3703   | 0.0      | 0.0      | -0.3703     | 0.1091    || 0.208           | 0.2
1300      | 0.568     | 0.0      | 0.0      | 0.568       | 0.113     || 0.205           | 0.3
1400      | 0.5339    | 0.0      | 0.0      | 0.5339      | 0.1144    || 0.196           | 0.1
1500      | 0.4772    | 0.0      | 0.0      | 0.4772      | 0.1198    || 0.195           | 0.1
