Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 23.9829   | 2.2667   | 17.1725  | 26.2496  | 0.0019
125       | 19.0756   | 1.2455   | 14.9253  | 20.3211  | 0.0031
200       | 19.8628   | 0.9949   | 13.0309  | 20.8577  | 0.0017
250       | 21.9792   | 1.1448   | 24.0403  | 23.124   | 0.1529
300       | 22.8725   | 0.9802   | 23.4252  | 23.8527  | 0.1571
400       | 19.1087   | 0.9036   | 14.1831  | 20.0123  | 0.1127
500       | 14.4558   | 0.5741   | 7.2404   | 15.0299  | 0.0876
600       | 11.1856   | 0.5523   | 12.2638  | 11.7379  | 0.0651
700       | 8.0692    | 0.4685   | 9.1466   | 8.5377   | 0.4275
800       | 3.3515    | 0.512    | 8.9152   | 3.8635   | 0.3187
900       | 3.1723    | 0.3046   | 5.85     | 3.4769   | 0.2146
1000      | 3.0689    | 0.2269   | 3.0347   | 3.2958   | 0.1774
1100      | 1.3613    | 0.2269   | 0.0      | 1.5882   | 1.2992
1200      | 1.2614    | 0.1382   | 0.0      | 1.3996   | 1.0476
1300      | 2.1636    | 0.1382   | 0.0      | 2.3018   | 0.8156
1400      | 1.7593    | 0.1382   | 0.0      | 1.8975   | 0.5899
1500      | 1.7021    | 0.1382   | 0.0      | 1.8403   | 0.4812
600       | 11.1856   | 0.5523   | 12.2638  | 11.7379  | 0.0651
700       | 8.0692    | 0.4685   | 9.1466   | 8.5377   | 0.4275
800       | 3.3515    | 0.512    | 8.9152   | 3.8635   | 0.3187
900       | 3.1723    | 0.3046   | 5.85     | 3.4769   | 0.2146
1000      | 3.0689    | 0.2269   | 3.0347   | 3.2958   | 0.1774
1100      | 1.3613    | 0.2269   | 0.0      | 1.5882   | 1.2992
1200      | 1.2614    | 0.1382   | 0.0      | 1.3996   | 1.0476
1500      | 1.7021    | 0.1382   | 0.0      | 1.8403   | 0.4812
