Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 14.3621   | 0.7795   | 44.8634  | 15.1416  | 0.0026
125       | 10.0957   | 0.4503   | 3.0482   | 10.546   | 0.0032
200       | 10.4156   | 0.4248   | 41.5514  | 10.8404  | 0.0017
250       | 10.0652   | 0.412    | 3.2459   | 10.4772  | 0.143
300       | 10.1173   | 0.3271   | 0.3079   | 10.4444  | 0.147
400       | 7.9875    | 0.3271   | 0.0      | 8.3146   | 0.1056
500       | 5.2286    | 0.1728   | 0.2314   | 5.4014   | 0.0812
600       | 2.6697    | 0.2565   | 0.1824   | 2.9262   | 0.0572
700       | 1.7235    | 0.0864   | 0.1824   | 1.8099   | 0.3775
800       | 1.2749    | 0.0864   | 0.0875   | 1.3613   | 0.2716
900       | 2.0687    | 0.0      | 0.0      | 2.0687   | 0.1808
1000      | 1.9671    | 0.0      | 0.0      | 1.9671   | 0.1494
1100      | 0.7153    | 0.0      | 0.0      | 0.7153   | 1.0826
1200      | 0.6129    | 0.0      | 0.0      | 0.6129   | 0.8481
1300      | 0.5655    | 0.0      | 0.0      | 0.5655   | 0.6484
1400      | 0.5367    | 0.0      | 0.0      | 0.5367   | 0.4657
1500      | 0.4953    | 0.0      | 0.0      | 0.4953   | 0.3753
600       | 2.6697    | 0.2565   | 0.1824   | 2.9262   | 0.0572
700       | 1.7235    | 0.0864   | 0.1824   | 1.8099   | 0.3775
800       | 1.2749    | 0.0864   | 0.0875   | 1.3613   | 0.2716
900       | 2.0687    | 0.0      | 0.0      | 2.0687   | 0.1808
1000      | 1.9671    | 0.0      | 0.0      | 1.9671   | 0.1494
1100      | 0.7153    | 0.0      | 0.0      | 0.7153   | 1.0826
1200      | 0.6129    | 0.0      | 0.0      | 0.6129   | 0.8481
1500      | 0.4953    | 0.0      | 0.0      | 0.4953   | 0.3753
