Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 15.8815   | 0.908    | 16.1703  | 16.7895  | 0.0019
125       | 11.0472   | 0.3226   | 9.3131   | 11.3698  | 0.0028
200       | 12.4566   | 0.1687   | 12.5774  | 12.6253  | 0.0015
250       | 15.1487   | 0.2536   | 12.5644  | 15.4023  | 0.1356
300       | 15.1726   | 0.1687   | 9.5401   | 15.3413  | 0.1396
400       | 11.4308   | 0.1687   | 7.2392   | 11.5995  | 0.0998
500       | 8.0421    | 0.0965   | 6.7246   | 8.1386   | 0.0773
600       | 4.9989    | 0.1802   | 6.446    | 5.1791   | 0.0563
700       | 3.532     | 0.0965   | 3.0247   | 3.6285   | 0.3681
800       | 2.1481    | 0.0965   | 2.9634   | 2.2446   | 0.2699
900       | 1.6907    | 0.0      | 2.8759   | 1.6907   | 0.1791
1000      | 1.5765    | 0.0      | 0.0606   | 1.5765   | 0.1472
1100      | 0.6994    | 0.0      | 0.0      | 0.6994   | 1.0626
1200      | 0.6154    | 0.0      | 0.0      | 0.6154   | 0.8424
1300      | 0.5598    | 0.0      | 0.0      | 0.5598   | 0.6545
1400      | 0.5256    | 0.0      | 0.0      | 0.5256   | 0.4621
1500      | 0.4767    | 0.0      | 0.0      | 0.4767   | 0.3772
600       | 4.9989    | 0.1802   | 6.446    | 5.1791   | 0.0563
700       | 3.532     | 0.0965   | 3.0247   | 3.6285   | 0.3681
800       | 2.1481    | 0.0965   | 2.9634   | 2.2446   | 0.2699
900       | 1.6907    | 0.0      | 2.8759   | 1.6907   | 0.1791
1000      | 1.5765    | 0.0      | 0.0606   | 1.5765   | 0.1472
1100      | 0.6994    | 0.0      | 0.0      | 0.6994   | 1.0626
1200      | 0.6154    | 0.0      | 0.0      | 0.6154   | 0.8424
1500      | 0.4767    | 0.0      | 0.0      | 0.4767   | 0.3772
