Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 15.8815   | 0.908    | 16.1703  | 16.7895     | 0.0003    || 5e-05           | 1.0
125       | 11.0472   | 0.3226   | 9.3131   | 11.3698     | 0.0016    || 0.0004          | 0.8
200       | 12.4566   | 0.1687   | 12.5774  | 12.6253     | 0.0066    || 0.006           | 1.3
250       | 15.1487   | 0.2536   | 12.5644  | 15.4023     | 0.014     || 0.022           | 0.3
300       | 15.1726   | 0.1687   | 9.5401   | 15.3413     | 0.0127    || 0.035           | 0.4
400       | 11.4308   | 0.1687   | 7.2392   | 11.5995     | 0.0405    || 0.091           | 0.5
500       | 8.0421    | 0.0965   | 6.7246   | 8.1386      | 0.0313    || 0.143           | 0.8
600       | 4.9989    | 0.1802   | 6.446    | 5.1791      | 0.077     || 0.174           | 0.7
700       | 3.532     | 0.0965   | 3.0247   | 3.6285      | 0.0895    || 0.194           | 0.8
800       | 2.1481    | 0.0965   | 2.9634   | 2.2446      | 0.0921    || 0.208           | 0.4
900       | 1.6907    | 0.0      | 2.8759   | 1.6907      | 0.0869    || 0.192           | 0.2
1000      | 1.5765    | 0.0      | 0.0606   | 1.5765      | 0.0991    || 0.215           | 0.1
1100      | 0.6994    | 0.0      | 0.0      | 0.6994      | 0.0901    || 0.203           | 0.1
1200      | 0.6154    | 0.0      | 0.0      | 0.6154      | 0.0938    || 0.208           | 0.2
1300      | 0.5598    | 0.0      | 0.0      | 0.5598      | 0.0975    || 0.205           | 0.3
1400      | 0.5256    | 0.0      | 0.0      | 0.5256      | 0.0953    || 0.196           | 0.1
1500      | 0.4767    | 0.0      | 0.0      | 0.4767      | 0.0994    || 0.195           | 0.1
