Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 2311.2595 | 30.6425  | 0.0223   | 2341.902 | 0.0019
125       | 1077.1748 | 19.4823  | 0.0117   | 1096.6571| 0.0032
200       | 984.7367  | 24.4769  | 0.0144   | 1009.2136| 0.0018
250       | 1087.9101 | 24.3286  | 0.0144   | 1112.2387| 0.1619
300       | 1022.1998 | 23.7294  | 0.0144   | 1045.9292| 0.1659
400       | 996.6996  | 22.405   | 0.0262   | 1019.1046| 0.1177
500       | 754.6331  | 16.461   | 0.0136   | 771.0941 | 0.0921
600       | 449.3505  | 15.8071  | 0.0136   | 465.1576 | 0.0688
700       | 262.6733  | 13.16    | 0.0136   | 275.8333 | 0.4465
800       | 173.2694  | 10.5857  | 0.0056   | 183.8551 | 0.3375
900       | 45.76     | 7.8732   | 0.0056   | 53.6332  | 0.2289
1000      | 33.3079   | 7.6823   | 0.0056   | 40.9902  | 0.1879
1100      | 16.3175   | 6.8139   | 0.0056   | 23.1314  | 1.3857
1200      | 7.6372    | 6.5514   | 0.0056   | 14.1886  | 1.1177
1300      | 8.9279    | 6.3936   | 0.0056   | 15.3215  | 0.8697
1400      | -3.6011   | 0.4247   | 0.0056   | -3.1764  | 0.6322
1500      | -0.9683   | 0.2469   | 0.0056   | -0.7214  | 0.5161
600       | 449.3505  | 15.8071  | 0.0136   | 465.1576 | 0.0688
700       | 262.6733  | 13.16    | 0.0136   | 275.8333 | 0.4465
800       | 173.2694  | 10.5857  | 0.0056   | 183.8551 | 0.3375
900       | 45.76     | 7.8732   | 0.0056   | 53.6332  | 0.2289
1000      | 33.3079   | 7.6823   | 0.0056   | 40.9902  | 0.1879
1100      | 16.3175   | 6.8139   | 0.0056   | 23.1314  | 1.3857
1200      | 7.6372    | 6.5514   | 0.0056   | 14.1886  | 1.1177
1500      | -0.9683   | 0.2469   | 0.0056   | -0.7214  | 0.5161
