Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 2207.197  | 29.3872  | 0.008    | 2236.5842| 0.0019
125       | 1002.6562 | 18.9201  | 0.0      | 1021.5763| 0.003
200       | 904.9638  | 23.5016  | 0.008    | 928.4654 | 0.0016
250       | 1012.8573 | 23.0509  | 0.008    | 1035.9082| 0.1488
300       | 951.5822  | 22.5346  | 0.008    | 974.1168 | 0.1532
400       | 945.2527  | 21.181   | 0.008    | 966.4337 | 0.1097
500       | 708.7456  | 15.5707  | 0.008    | 724.3163 | 0.0857
600       | 436.6495  | 9.3103   | 0.008    | 445.9598 | 0.0636
700       | 257.9266  | 6.8385   | 0.008    | 264.7651 | 0.4122
800       | 168.5087  | 4.2884   | 0.0      | 172.7971 | 0.311
900       | 52.7942   | 1.834    | 0.0      | 54.6282  | 0.2098
1000      | 42.8932   | 1.6432   | 0.0      | 44.5364  | 0.1732
1100      | 21.2209   | 0.8577   | 0.0      | 22.0786  | 1.2722
1200      | 13.0478   | 0.5952   | 0.0      | 13.643   | 1.0244
1300      | 14.3433   | 0.4943   | 0.0      | 14.8376  | 0.7939
1400      | 4.2414    | 0.3432   | 0.0      | 4.5846   | 0.5794
1500      | 6.8746    | 0.1654   | 0.0      | 7.04     | 0.4764
600       | 436.6495  | 9.3103   | 0.008    | 445.9598 | 0.0636
700       | 257.9266  | 6.8385   | 0.008    | 264.7651 | 0.4122
800       | 168.5087  | 4.2884   | 0.0      | 172.7971 | 0.311
900       | 52.7942   | 1.834    | 0.0      | 54.6282  | 0.2098
1000      | 42.8932   | 1.6432   | 0.0      | 44.5364  | 0.1732
1100      | 21.2209   | 0.8577   | 0.0      | 22.0786  | 1.2722
1200      | 13.0478   | 0.5952   | 0.0      | 13.643   | 1.0244
1500      | 6.8746    | 0.1654   | 0.0      | 7.04     | 0.4764
