Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 2145.8654 | 27.7235  | 0.008    | 2173.5889| 0.0019
125       | 979.5321  | 17.744   | 0.0      | 997.2761 | 0.0028
200       | 868.9938  | 22.0746  | 0.008    | 891.0684 | 0.0015
250       | 981.5683  | 21.5276  | 0.008    | 1003.0959| 0.1374
300       | 909.5314  | 21.0819  | 0.008    | 930.6133 | 0.1414
400       | 901.9832  | 19.8853  | 0.008    | 921.8685 | 0.1004
500       | 654.0023  | 14.8626  | 0.008    | 668.8649 | 0.0779
600       | 407.9539  | 8.8146   | 0.008    | 416.7685 | 0.0565
700       | 235.1794  | 6.4936   | 0.008    | 241.673  | 0.3699
800       | 153.4872  | 4.0924   | 0.0      | 157.5796 | 0.2724
900       | 44.0816   | 1.5655   | 0.0      | 45.6471  | 0.1807
1000      | 34.7455   | 1.3746   | 0.0      | 36.1201  | 0.1487
1100      | 16.5389   | 0.6779   | 0.0      | 17.2168  | 1.0784
1200      | 11.2026   | 0.4921   | 0.0      | 11.6947  | 0.849
1300      | 12.5559   | 0.3343   | 0.0      | 12.8902  | 0.6615
1400      | 3.6221    | 0.2613   | 0.0      | 3.8834   | 0.4682
1500      | 6.5939    | 0.1654   | 0.0      | 6.7593   | 0.3808
600       | 407.9539  | 8.8146   | 0.008    | 416.7685 | 0.0565
700       | 235.1794  | 6.4936   | 0.008    | 241.673  | 0.3699
800       | 153.4872  | 4.0924   | 0.0      | 157.5796 | 0.2724
900       | 44.0816   | 1.5655   | 0.0      | 45.6471  | 0.1807
1000      | 34.7455   | 1.3746   | 0.0      | 36.1201  | 0.1487
1100      | 16.5389   | 0.6779   | 0.0      | 17.2168  | 1.0784
1200      | 11.2026   | 0.4921   | 0.0      | 11.6947  | 0.849
1500      | 6.5939    | 0.1654   | 0.0      | 6.7593   | 0.3808
