Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 2425.4938 | 31.6347  | 0.0      | 2457.1285| 0.0026
125       | 1167.8914 | 21.278   | 0.0      | 1189.1694| 0.0032
200       | 975.9731  | 25.6618  | 0.0      | 1001.6349| 0.0017
250       | 1098.1975 | 25.4535  | 0.0      | 1123.651 | 0.144
300       | 1019.5343 | 24.5189  | 0.0      | 1044.0532| 0.148
400       | 1006.3147 | 23.0482  | 0.0      | 1029.3629| 0.1061
500       | 726.1732  | 17.135   | 0.0      | 743.3082 | 0.0816
600       | 452.2316  | 9.9014   | 0.0      | 462.133  | 0.0574
700       | 295.0208  | 7.3133   | 0.0      | 302.3341 | 0.3781
800       | 195.1345  | 4.2849   | 0.0      | 199.4194 | 0.2732
900       | 38.3884   | 1.656    | 0.0      | 40.0444  | 0.1818
1000      | 35.364    | 1.4651   | 0.0      | 36.8291  | 0.1506
1100      | 8.4406    | 0.7412   | 0.0      | 9.1818   | 1.0981
1200      | 6.2052    | 0.4911   | 0.0      | 6.6963   | 0.8535
1300      | 7.8987    | 0.4911   | 0.0      | 8.3898   | 0.6533
1400      | 1.8294    | 0.3409   | 0.0      | 2.1703   | 0.4708
1500      | 1.5999    | 0.1654   | 0.0      | 1.7653   | 0.3786
600       | 452.2316  | 9.9014   | 0.0      | 462.133  | 0.0574
700       | 295.0208  | 7.3133   | 0.0      | 302.3341 | 0.3781
800       | 195.1345  | 4.2849   | 0.0      | 199.4194 | 0.2732
900       | 38.3884   | 1.656    | 0.0      | 40.0444  | 0.1818
1000      | 35.364    | 1.4651   | 0.0      | 36.8291  | 0.1506
1100      | 8.4406    | 0.7412   | 0.0      | 9.1818   | 1.0981
1200      | 6.2052    | 0.4911   | 0.0      | 6.6963   | 0.8535
1500      | 1.5999    | 0.1654   | 0.0      | 1.7653   | 0.3786
