Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 10367.4256| 30.2777  | 0.0      | 10397.7033| 0.0171
125       | 12055.9133| 28.1633  | 0.0      | 12084.0766| 0.0174
200       | 8254.8419 | 44.7306  | 0.0      | 8299.5725| 0.007
250       | 1621.0993 | 15.0238  | 0.0      | 1636.1231| 0.2725
300       | 1575.6625 | 12.6506  | 0.0      | 1588.3131| 0.278
400       | 667.368   | 5.6764   | 0.0      | 673.0444 | 0.0662
500       | 384.6021  | 2.2247   | 0.0      | 386.8268 | 0.0343
600       | 193.012   | 1.2368   | 0.0      | 194.2488 | 0.0097
700       | 198.2576  | 1.2368   | 0.0      | 199.4944 | 0.0569
800       | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0368
900       | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0242
1000      | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0148
1100      | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0979
1200      | 595.8736  | 3.7105   | 0.0      | 599.5841 | 0.2098
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0198
600       | 193.012   | 1.2368   | 0.0      | 194.2488 | 0.0097
700       | 198.2576  | 1.2368   | 0.0      | 199.4944 | 0.0569
800       | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0368
900       | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0242
1000      | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0148
1100      | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0979
1200      | 595.8736  | 3.7105   | 0.0      | 599.5841 | 0.2098
1500      | 198.6245  | 1.2368   | 0.0      | 199.8613 | 0.0198
