Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 10662.4767| 29.8193  | 0.0      | 10692.296| 0.017
125       | 11694.7445| 26.6372  | 0.0      | 11721.3817| 0.0167
200       | 7775.5032 | 41.6794  | 0.0      | 7817.1826| 0.0069
250       | 1595.9491 | 14.5814  | 0.0      | 1610.5305| 0.28
300       | 1578.961  | 12.099   | 0.0062   | 1591.06  | 0.2879
400       | 704.6474  | 5.3357   | 0.0062   | 709.9831 | 0.0708
500       | 398.8037  | 2.0648   | 0.0      | 400.8685 | 0.037
600       | 221.1694  | 1.0391   | 0.0      | 222.2085 | 0.0108
700       | 229.03    | 1.0391   | 0.0      | 230.0691 | 0.0641
800       | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.0418
900       | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.0275
1000      | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.0162
1100      | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.1255
1200      | 679.1525  | 3.1172   | 0.0      | 682.2697 | 0.234
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.024
600       | 221.1694  | 1.0391   | 0.0      | 222.2085 | 0.0108
700       | 229.03    | 1.0391   | 0.0      | 230.0691 | 0.0641
800       | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.0418
900       | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.0275
1000      | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.0162
1100      | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.1255
1200      | 679.1525  | 3.1172   | 0.0      | 682.2697 | 0.234
1500      | 226.3842  | 1.0391   | 0.0      | 227.4233 | 0.024
