Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 10456.6369| 29.6609  | 0.0      | 10486.2978| 0.0166
125       | 11297.5315| 25.0648  | 0.0      | 11322.5963| 0.0162
200       | 7467.0091 | 39.9104  | 0.0      | 7506.9195| 0.0065
250       | 1496.5316 | 13.5041  | 0.0      | 1510.0357| 0.2625
300       | 1503.2484 | 11.2781  | 0.0      | 1514.5265| 0.2709
400       | 660.81    | 4.947    | 0.0      | 665.757  | 0.0655
500       | 376.1509  | 1.8388   | 0.0      | 377.9897 | 0.0339
600       | 202.2161  | 0.9585   | 0.0      | 203.1746 | 0.0094
700       | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0551
800       | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0358
900       | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0237
1000      | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0145
1100      | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.1023
1200      | 624.874   | 2.8756   | 0.0      | 627.7496 | 0.2032
1300      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1400      | 0.0       | 0.0      | 0.0      | 0.0      | 0.0
1500      | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0193
600       | 202.2161  | 0.9585   | 0.0      | 203.1746 | 0.0094
700       | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0551
800       | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0358
900       | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0237
1000      | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0145
1100      | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.1023
1200      | 624.874   | 2.8756   | 0.0      | 627.7496 | 0.2032
1500      | 208.2913  | 0.9585   | 0.0      | 209.2498 | 0.0193
