Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal 
---------------------------------------------------------------------
100       | 2564.5968 | 33.2647  | 0.0      | 2597.8615| 0.0025
125       | 1767.2842 | 33.4971  | 0.0      | 1800.7813| 0.0048
200       | 1770.164  | 37.8132  | 0.0      | 1807.9772| 0.0032
250       | 1203.1432 | 27.9893  | 0.0      | 1231.1325| 0.232
300       | 1623.7815 | 28.2377  | 0.0      | 1652.0192| 0.1954
400       | 1069.9153 | 19.8854  | 0.0      | 1089.8007| 0.1472
500       | 935.2134  | 16.0852  | 0.0      | 951.2986 | 0.1225
600       | 1183.9234 | 13.379   | 0.0      | 1197.3024| 0.1119
700       | 857.0155  | 9.3834   | 0.0      | 866.3989 | 0.7282
800       | 481.721   | 5.1087   | 0.0      | 486.8297 | 0.4851
900       | 351.2943  | 3.1803   | 0.0      | 354.4746 | 0.3669
1000      | 238.251   | 2.365    | 0.0      | 240.616  | 0.2762
1100      | 133.5725  | 1.8304   | 0.0      | 135.4029 | 2.2172
1200      | 95.4259   | 1.5981   | 0.0      | 97.024   | 1.5694
1300      | 79.1274   | 1.0528   | 0.0      | 80.1802  | 1.2052
1400      | 22.4625   | 0.5303   | 0.0      | 22.9928  | 0.9532
1500      | 21.9376   | 0.3968   | 0.0      | 22.3344  | 0.8095
600       | 1183.9234 | 13.379   | 0.0      | 1197.3024| 0.1119
700       | 857.0155  | 9.3834   | 0.0      | 866.3989 | 0.7282
800       | 481.721   | 5.1087   | 0.0      | 486.8297 | 0.4851
900       | 351.2943  | 3.1803   | 0.0      | 354.4746 | 0.3669
1000      | 238.251   | 2.365    | 0.0      | 240.616  | 0.2762
1100      | 133.5725  | 1.8304   | 0.0      | 135.4029 | 2.2172
1200      | 95.4259   | 1.5981   | 0.0      | 97.024   | 1.5694
1500      | 21.9376   | 0.3968   | 0.0      | 22.3344  | 0.8095
