Mass mN   | Nprompt   | NFake    | NCF      |  Total Bkg  | Nsignal   || EXO-17-028 Eff  | EXO-17-028 Bkg 
------------------------------------------------------------------------------------------------------------
100       | 22.5578   | 3.4771   | 2.1047   | 26.0349     | 0.0003    || 5e-05           | 1.0
125       | 14.0911   | 1.6882   | 1.7866   | 15.7793     | 0.0016    || 0.0004          | 0.8
200       | 16.4728   | 0.9371   | 1.7483   | 17.4099     | 0.0066    || 0.006           | 1.3
250       | 13.8508   | 1.131    | 1.778    | 14.9818     | 0.014     || 0.022           | 0.3
300       | 9.5218    | 1.2995   | 0.0      | 10.8213     | 0.0127    || 0.035           | 0.4
400       | 10.6443   | 1.4868   | 0.0      | 12.1311     | 0.0405    || 0.091           | 0.5
500       | 11.4045   | 0.41     | 0.0      | 11.8145     | 0.0313    || 0.143           | 0.8
600       | 5.6012    | 0.0      | 1.4871   | 5.6012      | 0.077     || 0.174           | 0.7
700       | 2.3678    | 0.0      | 2.8986   | 2.3678      | 0.0895    || 0.194           | 0.8
800       | 2.8301    | 0.0      | 2.8986   | 2.8301      | 0.0921    || 0.208           | 0.4
900       | 3.5882    | 0.0      | 1.4772   | 3.5882      | 0.0869    || 0.192           | 0.2
1000      | 2.9848    | 0.0      | 1.4772   | 2.9848      | 0.0991    || 0.215           | 0.1
1100      | 2.7321    | 0.0      | 1.4772   | 2.7321      | 0.0901    || 0.203           | 0.1
1200      | 2.6928    | 0.0      | 1.4772   | 2.6928      | 0.0938    || 0.208           | 0.2
1300      | 2.6802    | 0.0      | 1.4772   | 2.6802      | 0.0975    || 0.205           | 0.3
1400      | 1.2558    | 0.0      | 1.4772   | 1.2558      | 0.0953    || 0.196           | 0.1
1500      | 1.2558    | 0.0      | 1.4772   | 1.2558      | 0.0994    || 0.195           | 0.1
