100	1.2662	1.2662	1.8945	0.8626	2.5455  0.8626
125	1.9742	1.9742	2.9401	1.3964	4.6448  1.3964
200	5.7292	5.7292	8.3066	3.8778	11.330  3.8778
250	0.6797	0.6797	1.0018	0.4869	1.4893  0.4869
300	0.7801	0.7801	1.2989	0.5923	1.7331  0.5923
400	0.9778	0.9778	1.3986	0.7127	2.0340  0.7127
500	1.4560	1.4560	2.1303	1.0596	3.1081  1.0596
600	1.5127	1.5127	1.9752	1.1544	3.1605  1.1544
700	0.2217	0.2217	0.2935	0.1640	0.5429  0.1640
800	0.2904	0.2904	0.3872	0.1984	0.5851  0.1984
900	0.3460	0.3460	0.5120	0.2777	0.7637  0.2777
1000	0.4548	0.4548	0.6891	0.3712	0.8677  0.3712
1100	0.0752	0.0752	0.1305	0.0695	0.2346  0.0695
1200	0.0888	0.0888	0.0970	0.0779	0.1263  0.0779
1500	0.1157	0.1157	0.1435	0.1101	0.1904  0.1101
1700	0.2003	0.2003	0.2255	0.1970	0.3147  0.1970
2000	0.3758	0.3758	0.3776	0.3708	0.5334  0.3708
