Mass    Xsec(pb) for MuMu (BR applied)
15      0.9288569154
20      0.890204143
30      0.7756818888
40      0.621206361
50      0.43815007334
60      0.24673856942
70      0.0840080316
75      0.03053412936
85      0.0048319995168
90      0.003286666338
95      0.00232269728333
100     0.00165270010473
125     0.000518743026126
150     0.000233195561014
200     7.15572545509e-05
250     2.99901757983e-05
300     1.48736395393e-05
400     4.90618575205e-06
500     2.02958578544e-06
600     9.6669724813e-07
700     5.04317499435e-07
800     2.81526720047e-07
900     1.65092408091e-07
1000    1.00856302661e-07
1100    6.33438285456e-08
1200    4.08560811811e-08
1300    2.69419407125e-08
1400    1.80691626318e-08
1500    1.2306366592e-08
1600    8.50615486138e-09
1700    5.93951765538e-09
1800    4.19018707698e-09
1900    2.98785499935e-09
2000    2.14489384071e-09
~
