100	11.5770	11.5770	11.5770	11.5770	11.5770	11.5770
125	11.9603	11.9603	11.9603	11.9603	11.9603	11.9603
200	33.5400	33.5400	33.5400	33.5400	33.5400	33.5400
250	47.1666	47.1666	47.1666	47.1666	47.1666	47.1666
300	4.2938	4.2938	4.2938	4.2938	4.2938	4.2938
400	7.3755	7.3755	7.3755	7.3755	7.3755	7.3755
500	10.3965	10.3965	10.3965	10.3965	10.3965	10.3965
600	14.7636	14.7636	14.7636	14.7636	14.7636	14.7636
700	2.1341	2.1341	2.1341	2.1341	2.1341	2.1341
800	3.0912	3.0912	3.0912	3.0912	3.0912	3.0912
900	4.3680	4.3680	4.3680	4.3680	4.3680	4.3680
1000	3.8517	3.8517	3.8517	3.8517	3.8517	3.8517
1100	0.3719	0.3719	0.3719	0.3719	0.3719	0.3719
1200	0.4884	0.4884	0.4884	0.4884	0.4884	0.4884
1500	1.0783	1.0783	1.0783	1.0783	1.0783	1.0783
